fold,accuracy,f1,precision,recall
0,0.6746987951807228,0.667119587054651,0.6858066337159179,0.6746987951807228
1,0.6987951807228916,0.6933557547101378,0.7107116247796617,0.6987951807228916
2,0.7228915662650602,0.6969923300937011,0.7130357564712633,0.7228915662650602
3,0.6746987951807228,0.6671693501624231,0.7070649112286249,0.6746987951807228
4,0.7439024390243902,0.7383017039030495,0.7771196283391405,0.7439024390243902
5,0.7560975609756098,0.7602176955835492,0.790151515151515,0.7560975609756098
