fold,accuracy,f1,precision,recall
0,0.1566265060240964,0.04241967871485943,0.024531862389316303,0.1566265060240964
1,0.1566265060240964,0.04241967871485943,0.024531862389316303,0.1566265060240964
2,0.1686746987951807,0.04868960377592845,0.028451154013644942,0.1686746987951807
3,0.1686746987951807,0.04868960377592845,0.028451154013644942,0.1686746987951807
4,0.17073170731707318,0.04979674796747968,0.029149315883402742,0.17073170731707318
5,0.17073170731707318,0.04979674796747968,0.029149315883402742,0.17073170731707318
