fold,accuracy,f1,precision,recall
0,0.6265060240963856,0.6164984737884858,0.667762428924725,0.6265060240963856
1,0.7228915662650602,0.7144639162711451,0.7496462038630713,0.7228915662650602
2,0.6746987951807228,0.6618293234205477,0.6731771240807385,0.6746987951807228
3,0.6506024096385542,0.6424093634837269,0.6538310103157728,0.6506024096385542
4,0.7560975609756098,0.7550103614455905,0.7904542861218086,0.7560975609756098
5,0.6829268292682927,0.683640948562039,0.7275227164036346,0.6829268292682927
