fold,accuracy,f1,precision,recall
0,0.891566265060241,0.8900868876772491,0.8984822406509153,0.891566265060241
1,0.9036144578313253,0.8991532273293802,0.9083063021316033,0.9036144578313253
2,0.8192771084337349,0.8167570983233633,0.8290304073436604,0.8192771084337349
3,0.8433734939759037,0.8452791953109011,0.8635580784677171,0.8433734939759037
4,0.8780487804878049,0.876971082532433,0.8891405342624854,0.8780487804878049
5,0.8780487804878049,0.8668435315932106,0.9008978826051995,0.8780487804878049
