fold,accuracy,f1,precision,recall
0,0.8433734939759037,0.8420627618916923,0.8575152257381173,0.8433734939759037
1,0.8795180722891566,0.8760374832663989,0.8943466172381836,0.8795180722891566
2,0.8674698795180723,0.8648597117767917,0.8811984200538417,0.8674698795180723
3,0.8433734939759037,0.8438967005769714,0.8705941412709662,0.8433734939759037
4,0.8536585365853658,0.8513331406624088,0.8786026981148933,0.8536585365853658
5,0.8170731707317073,0.8073349022963914,0.8333109979451444,0.8170731707317073
