fold,train_idx,test_idx,rf_f1,rf_recall,rf_precision,rf_accuracy,knn_accuracy,knn_f1,knn_precision,knn_recall
0,"[ 0  1  2  3  4  5  7 10 11 12 13 14 15 16 17 20 22 23 26 27 28 29 30 32
 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56
 57 58 60 62 64 65 66 67 68 69 70 73 74 75 76 77 78 80 81 82 84 85 86 87
 88 89 90 91 93 94 95 96 97 98 99]",[ 6  8  9 18 19 21 24 25 31 59 61 63 71 72 79 83 92],0.4411764705882353,0.47058823529411764,0.4313725490196078,0.47058823529411764,,,,
1,"[ 1  2  3  5  6  7  8  9 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 27
 28 30 31 32 34 36 37 39 40 42 43 44 45 46 48 49 50 51 52 54 55 56 57 58
 59 60 61 62 63 64 65 66 67 68 69 71 72 75 76 77 78 79 80 81 82 83 84 85
 86 87 88 89 90 91 92 93 94 95 98]",[ 0  4 17 26 29 33 35 38 41 47 53 70 73 74 96 97 99],0.37254901960784315,0.4117647058823529,0.35294117647058826,0.4117647058823529,,,,
2,"[ 0  2  3  4  5  6  7  8  9 10 11 12 13 14 15 17 18 19 20 21 22 23 24 25
 26 29 30 31 32 33 34 35 37 38 39 40 41 44 47 48 49 51 53 54 55 56 57 58
 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 76 77 78 79 81 83 85 86
 87 88 90 91 92 93 94 96 97 98 99]",[ 1 16 27 28 36 42 43 45 46 50 52 75 80 82 84 89 95],0.3333333333333333,0.35294117647058826,0.3235294117647059,0.35294117647058826,,,,
3,"[ 0  1  3  4  5  6  8  9 11 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28
 29 31 33 35 36 37 38 39 41 42 43 44 45 46 47 48 49 50 51 52 53 55 56 57
 59 61 62 63 64 65 66 67 68 70 71 72 73 74 75 76 78 79 80 81 82 83 84 85
 86 87 88 89 90 91 92 95 96 97 99]",[ 2  7 10 12 20 30 32 34 40 54 58 60 69 77 93 94 98],0.35294117647058826,0.4117647058823529,0.3333333333333333,0.4117647058823529,,,,
4,"[ 0  1  2  4  6  7  8  9 10 12 13 14 15 16 17 18 19 20 21 23 24 25 26 27
 28 29 30 31 32 33 34 35 36 38 40 41 42 43 44 45 46 47 48 50 52 53 54 56
 58 59 60 61 62 63 64 65 66 67 69 70 71 72 73 74 75 77 79 80 82 83 84 85
 88 89 90 91 92 93 94 95 96 97 98 99]",[ 3  5 11 22 37 39 49 51 55 57 68 76 78 81 86 87],0.12916666666666665,0.1875,0.109375,0.1875,,,,
5,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 16 17 18 19 20 21 22 24 25 26 27
 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 45 46 47 49 50 51 52 53
 54 55 57 58 59 60 61 63 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83
 84 86 87 89 92 93 94 95 96 97 98 99]",[13 14 15 23 44 48 56 62 64 65 66 67 85 88 90 91],0.3333333333333333,0.3125,0.375,0.3125,,,,
Average,,,0.32708333333333334,0.35784313725490197,0.3209252450980392,0.35784313725490197,,,,
