fold,train_idx,test_idx,rf_f1,rf_recall,rf_precision,rf_accuracy,knn_accuracy,knn_f1,knn_precision,knn_recall
0,"[ 0  1  2  3  4  5  7 10 11 12 13 14 15 16 17 20 22 23 26 27 28 29 30 32
 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56
 57 58 60 62 64 65 66 67 68 69 70 73 74 75 76 77 78 80 81 82 84 85 86 87
 88 89 90 91 93 94 95 96 97 98 99]",[ 6  8  9 18 19 21 24 25 31 59 61 63 71 72 79 83 92],0.22058823529411764,0.29411764705882354,0.20448179271708683,0.29411764705882354,0.35294117647058826,0.303921568627451,0.2843137254901961,0.35294117647058826
1,"[ 1  2  3  5  6  7  8  9 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 27
 28 30 31 32 34 36 37 39 40 42 43 44 45 46 48 49 50 51 52 54 55 56 57 58
 59 60 61 62 63 64 65 66 67 68 69 71 72 75 76 77 78 79 80 81 82 83 84 85
 86 87 88 89 90 91 92 93 94 95 98]",[ 0  4 17 26 29 33 35 38 41 47 53 70 73 74 96 97 99],0.19117647058823528,0.23529411764705882,0.18487394957983194,0.23529411764705882,0.23529411764705882,0.196078431372549,0.17647058823529413,0.23529411764705882
2,"[ 0  2  3  4  5  6  7  8  9 10 11 12 13 14 15 17 18 19 20 21 22 23 24 25
 26 29 30 31 32 33 34 35 37 38 39 40 41 44 47 48 49 51 53 54 55 56 57 58
 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 76 77 78 79 81 83 85 86
 87 88 90 91 92 93 94 96 97 98 99]",[ 1 16 27 28 36 42 43 45 46 50 52 75 80 82 84 89 95],0.20588235294117646,0.29411764705882354,0.1784313725490196,0.29411764705882354,0.29411764705882354,0.2647058823529412,0.2549019607843137,0.29411764705882354
3,"[ 0  1  3  4  5  6  8  9 11 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28
 29 31 33 35 36 37 38 39 41 42 43 44 45 46 47 48 49 50 51 52 53 55 56 57
 59 61 62 63 64 65 66 67 68 70 71 72 73 74 75 76 78 79 80 81 82 83 84 85
 86 87 88 89 90 91 92 95 96 97 99]",[ 2  7 10 12 20 30 32 34 40 54 58 60 69 77 93 94 98],0.16993464052287582,0.23529411764705882,0.15441176470588236,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882
4,"[ 0  1  2  4  6  7  8  9 10 12 13 14 15 16 17 18 19 20 21 23 24 25 26 27
 28 29 30 31 32 33 34 35 36 38 40 41 42 43 44 45 46 47 48 50 52 53 54 56
 58 59 60 61 62 63 64 65 66 67 69 70 71 72 73 74 75 77 79 80 82 83 84 85
 88 89 90 91 92 93 94 95 96 97 98 99]",[ 3  5 11 22 37 39 49 51 55 57 68 76 78 81 86 87],0.10535714285714284,0.1875,0.08854166666666667,0.1875,0.0625,0.041666666666666664,0.03125,0.0625
5,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 16 17 18 19 20 21 22 24 25 26 27
 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 45 46 47 49 50 51 52 53
 54 55 57 58 59 60 61 63 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83
 84 86 87 89 92 93 94 95 96 97 98 99]",[13 14 15 23 44 48 56 62 64 65 66 67 85 88 90 91],0.06666666666666667,0.125,0.046875,0.125,0.125,0.0875,0.078125,0.125
Average,,,0.15993425147836912,0.22855392156862744,0.1429359243697479,0.22855392156862744,0.21752450980392157,0.18819444444444444,0.17672589869281044,0.21752450980392157
