PE Ratio,PB Ratio,PS Ratio,ROE,ROA,Debt/Equity,Current Ratio,Profit Margin,Revenue Growth YoY,EPS Growth Next 5Y,Market Cap
17.295145,16.742617,3.0490997,-1.4551695444143955,-0.1382957690786872,312.492,1.657,-0.2842340511986997,-0.01,0.221,74742579200.0
17.988981,5.0034485,2.4547403,0.3017783561049664,0.173185226671645,12.132,1.552,0.1444663621262458,-0.077,-0.181,9372443648.0
16.95675,4.700625,5.299129,0.1482527264720358,0.0781681099243314,31.889,1.253,0.1426861801590665,0.04,0.083,224386334720.0
75.46861,95.73779,5.6639132,0.4694015444015444,0.0360995018966528,2021.968,0.66,0.0895283331492323,0.056,0.0785,319070896128.0
24.023909,6.241914,2.7138677,0.2674502806015326,0.1340914450601865,26.706,1.477,0.1071809385316216,0.054,0.072,182430236672.0
23.853933,11.98917,6.9800715,0.3286112120111393,0.1822761006078108,50.118,1.185,0.2796640733680251,0.103,2.044,153819840512.0
94.47,2.6617265,5.9522514,0.0152794675445502,0.0125800986963246,4.032,2.616,0.0376543209876543,0.242,-0.297,153478807552.0
4.2700424,1.9746342,0.586782,0.1509090909090909,0.0055581597803522,351.227,0.797,0.0196558257025576,-0.002,0.0785,7204508672.0
11.333333,2.2999115,3.1473687,0.2119172162838299,0.0367649379754426,37.796,1.824,0.2472798683721671,0.43,6.544,59570245632.0
24.54587,5.064837,4.6703997,0.2121471343028229,0.1152095140760011,58.736,2.197,0.1814722669398507,0.014,-0.059,30511722496.0
15.54945,3.5832336,4.970018,0.1607081723480217,0.0718756347160378,80.976,1.113,0.1825555555555555,-0.022,0.015,59812675584.0
29.685366,9.01422,6.8116817,0.5868952847519902,0.2321143133930734,27.271,1.691,0.483210648381567,0.118,0.0785,75623292928.0
24.220182,2.4356492,2.8994792,0.1191234578777526,0.055315853870041,95.003,1.233,0.1436622489454133,0.025,-0.105,11572307968.0
23.5976775,0.88507825,1.2726594,0.1671744484274631,0.0861204077446168,35.769,1.954,0.1636105632791571,-0.477,0.0785,6843758592.0
42.922226,0.7437213,4.27896,0.0056108504196403,0.0028184674601202,56.93,2.576,0.0359146951917022,0.05,0.0785,13365130240.0
32.788258,3.5327837,3.3734488,0.1225876183621545,0.0731528595992325,3.097,1.223,0.1152312376691367,0.04,-0.147,13490462720.0
20.45601,8.018737,3.1824234,0.4099218690738072,0.1253392090919633,143.313,2.041,0.148022351265476,0.054,0.234,12004737024.0
22.799257,2.247673,3.9573026,0.1037332152870001,0.0331026039459434,151.585,0.436,0.1745716414204122,0.016,0.235,15754020864.0
11.475854,2.6561434,0.80593055,-0.0119221256896442,-0.0018188502544455,38.943,0.391,-0.0032930460676125,0.113,0.282,51664986112.0
19.786335,5.9830217,5.585389,0.2604109690555757,0.1833908228791824,8.655,1.837,0.2400664944663851,0.118,0.309,1954986721280.0
20.083334,6.0652843,5.5770717,0.2604109690555757,0.1833908228791824,8.655,1.837,0.2400664944663851,0.118,0.309,1952075481088.0
8.977064,-44.3429,4.842742,-2.296610169491525,0.2107855846512834,74.277,0.514,0.3965466783728417,0.016,0.539,99005014016.0
33.732365,6.909912,3.1030788,0.1507120743034055,0.0576390441296267,54.342,1.064,0.0529328357559783,0.105,0.846,1979637039104.0
17.25,3.687023,1.0311657,0.260307998012916,0.0616361818502617,197.441,1.259,0.0713216278753232,-0.003,0.228,13961984000.0
22.380089,2.2039526,3.6488297,0.1015067406819984,0.0282145481263776,153.508,0.663,0.1536,0.205,0.288,26724030464.0
19.121864,2.1103637,2.8890853,0.0874609354885985,0.0228383186463116,170.451,0.445,0.1163241546071866,0.026,0.97,56976519168.0
18.680643,6.0057063,3.0182831,0.2984638414655879,0.0320710204206688,170.351,1.574,0.1383789143187639,0.088,0.093,187281457152.0
20.257984,1.175372,1.7808888,0.0811973431997503,0.0067549776935543,23.008,0.662,0.0770988973778332,0.088,11.526,48132079616.0
30.522432,29.14732,9.749068,0.3533180887046829,0.0224648480332467,455.544,0.449,0.1481492579053554,-0.086,13.388,98730770432.0
27.09462,2.7551596,6.0801463,0.0963560273553128,0.031157172090567,136.702,0.386,0.2229570146433632,0.164,0.391,28479406080.0
14.353012,8.720477,2.533945,0.5404948192006767,0.0145897905714334,70.39,2.601,0.1645317026070164,0.115,1.966,45423501312.0
28.154882,3.995986,5.5595927,0.1504191603597218,0.0874087340174911,24.075,1.24,0.1990598685756296,0.018,0.129,38590132224.0
37.015873,25.565502,4.501444,1.077824133504493,0.0691376577392593,1035.886,1.257,0.2382759843916282,0.109,-0.187,150456254464.0
36.90777,8.928948,5.4914126,0.2309950278559875,0.1166618259270016,69.096,1.989,0.1535679864911149,0.477,0.333,92131631104.0
62.3738,2.7609956,10.369807,0.0931974590161675,0.0679293874196174,21.725,1.93,0.2693566693827877,-0.036,-0.161,96829390848.0
48.22561,4.549913,10.896504,0.0928345469805007,0.0683354556782684,14.222,3.008,0.2204507678366342,0.096,0.019,27729522688.0
29.203999,12.881996,5.023007,-3.1041162227602905,0.0755028122147295,278.258,1.019,0.1916866028708134,0.229,0.331,78851162112.0
7.162996,1.1252595,0.6208464,1.0753295668549905,0.1872868013644712,100.865,1.152,0.3448484116439183,0.245,-0.835,5880656896.0
17.269432,4.7571816,2.9379015,0.3990985291791871,0.0160994998213647,103.066,1.507,0.1546072785197892,-0.526,-0.459,76056395776.0
33.0746,46.951324,7.9092255,1.5607601454639075,0.2750983456377647,145.0,0.923,0.2530623426432028,0.04,0.101,3130155073536.0
19.630064,6.550491,4.414846,0.4193528656186923,0.2231117185720329,35.372,2.675,0.2585511181506204,0.068,-0.398,122004267008.0
7.6578584,1.4712484,0.6408612,0.2544163491513682,0.1202767429483768,97.832,1.525,0.1465263577876415,-0.002,-0.648,12633296896.0
8.267504,1.7271448,1.9929774,0.2535524738914569,0.0754252537941805,13.886,1.073,0.3342109222205506,0.144,-0.605,34757525504.0
13.364383,1.0518144,0.27384555,0.1443311785181501,0.0637550108912522,51.438,1.39,0.0370788311066162,-0.064,0.103,23422009344.0
33.762333,9.501514,13.499129,0.2891403159331431,0.2096412091032763,0.597,4.359,0.3561879113363302,0.253,0.295,94536376320.0
51.003075,4.112437,7.758595,0.0899742930591259,0.0187830083036589,67.281,1.508,0.0962579056583167,0.114,0.0785,84781268992.0
13.360305,1.9230732,0.8273769,0.1335897702463873,0.0191020121777185,42.013,0.437,0.0577185669625211,0.041,0.134,9827169280.0
