PE Ratio,PB Ratio,PS Ratio,ROE,ROA,Debt/Equity,Current Ratio,Profit Margin,Revenue Growth YoY,EPS Growth Next 5Y,Market Cap
19.630064,6.550491,4.414846,0.3777169622651439,0.2085791508035688,35.372,2.675,0.2640933176332057,0.068,-0.398,122004267008.0
7.6578584,1.4712484,0.6408612,0.2031605275125056,0.0761787023616676,97.832,1.525,0.0906508395475067,-0.002,-0.648,12633296896.0
8.267504,1.7271448,1.9929774,0.2157078539269634,0.0608129072292894,13.886,1.073,0.254695806261075,0.144,-0.605,34757525504.0
13.364383,1.0518144,0.27384555,0.0811981234211476,0.0337894914681534,51.438,1.39,0.0210452472816555,-0.064,0.103,23422009344.0
33.762333,9.501514,13.499129,0.2853535841162316,0.2030810341356947,0.597,4.359,0.4072532544659215,0.253,0.295,94536376320.0
51.003075,4.112437,7.758595,0.072577964125338,0.0227639163834211,67.281,1.508,0.1265869890695722,0.114,0.0785,84781268992.0
13.360305,1.9230732,0.8273769,0.148863258072728,0.0217072237483081,42.013,0.437,0.0640033677120606,0.041,0.134,9827169280.0
16.88957,1.9095513,1.6125431,0.1048940328823822,0.0277308476551121,117.856,0.704,0.0894912372482343,0.02,0.296,198236372992.0
22.875359,1.9830103,6.0592403,0.0857808351255491,0.0413938140778143,66.587,1.556,0.2503837162653201,0.015,0.074,25344100352.0
52.96491,22.184029,9.439607,0.149026649026649,0.0558971023661985,97.634,0.676,0.1265088314999519,0.116,0.069,57874227200.0
30.68229,23.601763,6.021275,0.8250505761280675,0.0690179111780687,86.202,0.999,0.2064044801654756,0.081,0.103,119843848192.0
24.224213,-13.560782,3.2338839,-0.5605564999597862,0.1550037033073835,74.726,0.842,0.1439907198749093,0.024,-0.021,60384751616.0
27.201315,2.4596071,9.928334,0.0906109759475934,0.0515217156426462,69.094,0.5,0.3713398200330364,0.054,0.163,29431941120.0
20.002302,6.351331,1.5663825,0.304847986852917,0.0838747293020156,159.369,1.026,0.080507555078406,-0.001,-0.019,13710076928.0
123.31315,19.442726,22.080172,0.1619794944719279,0.084261165497248,31.41,2.303,0.181046479131593,0.336,1.225,45982531584.0
