0
AAF
KGF
DPLM
SN
PSON
ICG
SDR
AZN
BNZL
SGRO
MNDI
BEZ
TW
INF
EXPN
ABF
GSK
IHG
BT-A
ANTO
SMT
STAN
SMIN
WEIR
CNA
CCH
SPX
GAW
ENT
LLOY
PRU
REL
RMV
CRDA
NXT
RIO
PSN
EDV
RKT
GLEN
AHT
SBRY
LMP
MNG
ADM
AUTO
LAND
ITRK
AV
DGE
NWG
RTO
JD
HIK
ALW
SGE
BP
MRO
IAG
MKS
NG
EZJ
TSCO
LGEN
FRES
DCC
SSE
HSBA
PHNX
STJ
UTG
PCT
SHEL
LSEG
HWDN
ULVR
FCIT
VOD
WPP
III
UU
HLN
AAL
BTRW
CPG
CCEP
HLMA
BKG
CTEC
BA
PSH
HSX
BATS
RR
BARC
WTB
SVT
BAB
IMI
IMB
