PE Ratio,PB Ratio,PS Ratio,ROE,ROA,Debt/Equity,Current Ratio,Profit Margin,Revenue Growth YoY,EPS Growth Next 5Y,Market Cap
17.295145,16.742617,3.0490997,0.3924059231082733,0.1243569045312668,312.492,1.657,0.2208248920148312,-0.01,0.221,74742579200.0
17.988981,5.0034485,2.4547403,0.1348629627510442,0.0707319268973381,12.132,1.552,0.062788033778204,-0.077,-0.181,9372443648.0
16.95675,4.700625,5.299129,0.1889821730360355,0.0931379134313119,31.889,1.253,0.1588206996082743,0.04,0.083,224386334720.0
75.46861,95.73779,5.6639132,0.6859858583516866,0.0852707035049169,2021.968,0.66,0.2038791470010679,0.056,0.0785,319070896128.0
24.023909,6.241914,2.7138677,0.311098291118509,0.1455073154930274,26.706,1.477,0.1116526763310341,0.054,0.072,182430236672.0
23.853933,11.98917,6.9800715,0.3384812468863426,0.1750782256580158,50.118,1.185,0.2701351811882312,0.103,2.044,153819840512.0
94.47,2.6617265,5.9522514,0.0241095890410958,0.0195324060372891,4.032,2.616,0.0559298334816321,0.242,-0.297,153478807552.0
4.2700424,1.9746342,0.586782,-0.3414634146341463,-0.0142324635716706,351.227,0.797,-0.0432749465007529,-0.002,0.0785,7204508672.0
11.333333,2.2999115,3.1473687,0.219364448857994,0.0335362613672592,37.796,1.824,0.2306929142081353,0.43,6.544,59570245632.0
24.54587,5.064837,4.6703997,0.2363807728557964,0.1190657045195594,58.736,2.197,0.1831191588785046,0.014,-0.059,30511722496.0
15.54945,3.5832336,4.970018,0.1716448569689592,0.0829674249612026,80.976,1.113,0.177665254437497,-0.022,0.015,59812675584.0
29.685366,9.01422,6.8116817,0.3404676258992806,0.1180321735877291,27.271,1.691,0.2253839742826527,0.118,0.0785,75623292928.0
24.220182,2.4356492,2.8994792,0.1201031056695504,0.0630671773008647,95.003,1.233,0.1447946084972463,0.025,-0.105,11572307968.0
23.5976775,0.88507825,1.2726594,0.336958748041215,0.174024660916602,35.769,1.954,0.3674559814997164,-0.477,0.0785,6843758592.0
42.922226,0.7437213,4.27896,0.0274957494805477,0.0146849686315208,56.93,2.576,0.2014938805590812,0.05,0.0785,13365130240.0
32.788258,3.5327837,3.3734488,0.1003990716835149,0.0607895463762538,3.097,1.223,0.096816154724625,0.04,-0.147,13490462720.0
20.45601,8.018737,3.1824234,0.486302824378849,0.1147524554018841,143.313,2.041,0.1399798282343592,0.054,0.234,12004737024.0
22.799257,2.247673,3.9573026,0.1093052899936265,0.0340227148737787,151.585,0.436,0.1631391200951248,0.016,0.235,15754020864.0
11.475854,2.6561434,0.80593055,-0.083064827941745,-0.0131545377542377,38.943,0.391,-0.0249796519514747,0.113,0.282,51664986112.0
19.786335,5.9830217,5.585389,0.2341339246673746,0.1641880940908493,8.655,1.837,0.2120380715326196,0.118,0.309,1954986721280.0
20.083334,6.0652843,5.5770717,0.2341339246673746,0.1641880940908493,8.655,1.837,0.2120380715326196,0.118,0.309,1952075481088.0
8.977064,-44.3429,4.842742,-1.4507928517493078,0.1559777020079017,74.277,0.514,0.27861562258314,0.016,0.539,99005014016.0
33.732365,6.909912,3.1030788,-0.0186383462404908,-0.0058831793375479,54.342,1.064,-0.0052958950004183,0.105,0.846,1979637039104.0
17.25,3.687023,1.0311657,0.1972072513473787,0.0461953402961092,197.441,1.259,0.0553492849284928,-0.003,0.228,13961984000.0
22.380089,2.2039526,3.6488297,0.1022078416444613,0.0283347403967918,153.508,0.663,0.1349754932763604,0.205,0.288,26724030464.0
19.121864,2.1103637,2.8890853,0.0965622305741334,0.0247014827099256,170.451,0.445,0.1174775325237404,0.026,0.97,56976519168.0
18.680643,6.0057063,3.0182831,0.304075108251386,0.0329050509296968,170.351,1.574,0.1421436949037115,0.088,0.093,187281457152.0
20.257984,1.175372,1.7808888,0.2526120785476102,0.0195834003538684,23.008,0.662,0.1867331288343558,0.088,11.526,48132079616.0
30.522432,29.14732,9.749068,0.3168832101069557,0.026278936520102,455.544,0.449,0.1830717233085201,-0.086,13.388,98730770432.0
27.09462,2.7551596,6.0801463,0.1065904068633823,0.0295102026127325,136.702,0.386,0.2162447257383966,0.164,0.391,28479406080.0
14.353012,8.720477,2.533945,0.8280305022350776,0.0198234834940699,70.39,2.601,0.2208584654229204,0.115,1.966,45423501312.0
28.154882,3.995986,5.5595927,0.1550913046083521,0.0932773555399674,24.075,1.24,0.1885271675774283,0.018,0.129,38590132224.0
37.015873,25.565502,4.501444,1.7896749521988529,0.1006127055788455,1035.886,1.257,0.2489077992630019,0.109,-0.187,150456254464.0
36.90777,8.928948,5.4914126,0.2711528593420377,0.124120786626822,69.096,1.989,0.1507011011645409,0.477,0.333,92131631104.0
62.3738,2.7609956,10.369807,0.0753746511445956,0.0546408070398301,21.725,1.93,0.228780735200146,-0.036,-0.161,96829390848.0
48.22561,4.549913,10.896504,0.1076296828653405,0.0783065650210939,14.222,3.008,0.253544692389883,0.096,0.019,27729522688.0
29.203999,12.881996,5.023007,-4.89413988657845,0.0791646281800391,278.258,1.019,0.2074685471592275,0.229,0.331,78851162112.0
7.162996,1.1252595,0.6208464,8.520094562647754,0.2741309804518141,100.865,1.152,0.3254176072234763,0.245,-0.835,5880656896.0
17.269432,4.7571816,2.9379015,-0.2953313253012048,-0.0076239128828965,103.066,1.507,-0.1787928519328957,-0.526,-0.459,76056395776.0
33.0746,46.951324,7.9092255,1.969588727502368,0.2829244092925685,145.0,0.923,0.2530964070519973,0.04,0.101,3130155073536.0
19.630064,6.550491,4.414846,0.5350992291290799,0.2441442789792711,35.372,2.675,0.2530541012216405,0.068,-0.398,122004267008.0
7.6578584,1.4712484,0.6408612,0.0674310364400045,0.0271431182599159,97.832,1.525,0.0339642060723883,-0.002,-0.648,12633296896.0
