Labels
6
6
5
5
9
9
9
10
4
5
7
1
9
7
8
5
6
10
4
0
0
2
1
1
10
10
4
4
8
10
4
6
5
9
9
9
4
3
4
9
9
1
4
2
9
4
4
0
10
9
9
1
8
1
6
3
1
4
5
5
4
1
5
5
4
4
4
6
1
5
5
9
9
4
2
6
2
8
6
9
1
8
2
4
5
1
1
6
6
4
8
9
5
5
10
7
5
4
0
3
1
4
2
5
4
6
9
4
4
2
4
10
2
9
2
0
2
3
10
2
10
5
6
9
9
7
8
2
3
9
8
6
6
5
5
1
5
9
1
6
9
6
3
5
3
8
4
2
2
10
1
0
6
7
1
10
10
7
7
6
1
7
10
5
0
5
6
9
10
3
9
3
6
8
8
4
8
2
4
10
10
10
3
1
6
8
3
9
4
9
6
8
6
9
4
9
10
9
1
9
9
0
0
4
7
9
9
6
5
10
9
6
6
2
1
1
5
6
4
9
4
3
4
1
5
8
5
2
3
9
1
5
1
6
2
8
6
9
6
5
4
6
9
6
5
6
5
6
5
9
4
7
1
0
9
5
4
8
5
8
6
9
9
6
5
6
4
9
2
2
2
4
9
2
8
3
4
9
2
2
6
5
9
2
1
9
1
6
5
7
0
1
6
4
1
1
7
4
3
4
1
4
7
6
4
0
2
1
5
5
5
0
4
5
1
9
9
9
8
5
1
5
2
2
9
2
4
4
7
9
4
4
9
0
7
0
0
10
1
10
6
6
4
6
1
10
7
9
1
9
1
3
6
0
9
3
9
6
6
1
9
9
0
6
9
9
4
6
2
5
10
2
3
10
4
6
7
10
4
2
4
8
4
10
9
8
1
6
9
5
1
4
6
8
8
5
4
6
5
5
6
1
9
1
1
4
9
8
3
9
10
9
7
8
9
2
1
6
5
10
6
6
1
4
7
5
5
9
4
9
2
0
4
0
1
3
2
9
9
9
1
9
3
6
5
1
0
1
6
6
4
9
4
9
2
4
9
8
1
6
6
6
6
5
5
3
8
6
9
6
0
5
5
8
4
10
7
4
6
6
5
2
0
0
6
5
10
4
8
5
9
8
1
3
4
9
1
10
6
1
9
5
5
