Ticker,MarketCap,TrailingPE,PriceToBook,PriceToSales,ReturnOnEquity,ReturnOnAssets,DebtToEquity,ProfitMargin,EpsGrowth5Y,RevenueGrowth,EpsGrowthYoY
A,40301183263.51367,33.30676302769725,7.478415895994372,6.377778645911326,0.2245314529597327,0.1130312937879495,0.9864538875487104,0.1914859946194018,-0.286,-0.0772488317757009,-0.0350877192982456
AA,15552312195.281982,36.25247597967828,3.3288339459079586,1.2798150259448635,0.0918236301369863,0.0285524126455906,2.2159674657534247,0.0353028308097432,0.0,-0.0240141354108103,4.487804878048781
AAL,12715391812.850952,-6.380025997416434,-1.7323422088352796,0.4255201061793371,0.2715258855585831,-0.0299848044894458,-10.055449591280654,-0.0666956696338933,0.0,-0.3898021277899164,-16.69291338582677
AAMI,6912860185.375977,14.194610423196522,2.6206688662014277,2.885797403488484,0.12826178593018378,0.03755038967783385,1.5620742451754253,0.1099272801426334,0.0,0.0,0.0
AAOI,6912860185.375977,14.194610423196522,2.6206688662014277,2.885797403488484,0.12826178593018378,0.03755038967783385,1.5620742451754253,0.1099272801426334,0.0,0.0,0.0
AAON,3947784312.0928345,67.18717982390201,8.4685507692319,7.385703938495566,0.1260441469850054,0.0903718970131348,0.3947272454254885,0.1099272801426334,-0.686,-0.3986001161131788,-0.4146210249462023
AAP,6912860185.375977,14.194610423196522,2.6206688662014277,2.885797403488484,0.12826178593018378,0.03755038967783385,1.5620742451754253,0.1099272801426334,0.0,0.0,0.0
AAPL,2523964199341.5,26.657839029800385,40.00577269522111,6.899526810786541,1.5007132667617689,0.2697420527518361,4.563512442542399,0.2588179335569424,0.078,-0.0723027530380799,-0.0513311223109525
AAT,6912860185.375977,14.194610423196522,2.6206688662014277,2.885797403488484,0.12826178593018378,0.03755038967783385,1.5620742451754253,0.1099272801426334,0.0,0.0,0.0
ABBV,208724892187.5,18.083944913143306,13.54652727073598,3.714164318157553,0.7490913811007269,0.0787693903595875,8.509929906542055,0.2053846290727263,-0.063,-0.03198745995108,-0.0248394727948631
ABCB,6912860185.375977,14.194610423196522,2.6206688662014277,2.885797403488484,0.12826178593018378,0.03755038967783385,1.5620742451754253,0.1099272801426334,0.0,0.0,0.0
ABG,3443702028.0029297,6.468260758833452,1.6278430763426754,0.3500515392828537,0.2516662727487591,0.0665283782770599,2.7828409359489483,0.0541183406690588,-0.069,-0.3625914383273184,-0.4661586282964002
ABM,6912860185.375977,14.194610423196522,2.6206688662014277,2.885797403488484,0.12826178593018378,0.03755038967783385,1.5620742451754253,0.1099272801426334,0.0,0.0,0.0
ABR,6912860185.375977,14.194610423196522,2.6206688662014277,2.885797403488484,0.12826178593018378,0.03755038967783385,1.5620742451754253,0.1099272801426334,0.0,0.0,0.0
ABT,220774920227.0508,31.22258806774866,6.1665527128945525,5.125360887453297,0.1975029327970504,0.0940342571413373,1.100329590525669,0.1641555426581543,0.086,-0.0132407852839438,0.0199048031155344
ABUS,6912860185.375977,14.194610423196522,2.6206688662014277,2.885797403488484,0.12826178593018378,0.03755038967783385,1.5620742451754253,0.1099272801426334,0.0,0.0,0.0
ACA,2481199548.0804443,35.649418794259255,1.270260353289533,1.2184244490671992,0.0356320073721394,0.0218311847181706,0.6321609583781294,0.0341779611078373,-0.4,-0.092027822364901,-0.7168429617575265
ACAD,6912860185.375977,14.194610423196522,2.6206688662014277,2.885797403488484,0.12826178593018378,0.03755038967783385,1.5620742451754253,0.1099272801426334,0.0,0.0,0.0
ACCO,614576437.232193,6.031172102376772,0.7106573048475867,0.3034495814112442,0.1178307123034227,0.0329634781483518,2.5745837187789085,0.0503135337974621,0.0,0.0398952556993222,8.719696969696969
ACEL,1079176524.0,34.19552343230141,6.8103604293801,1.4688529223214153,0.19915941461937,0.0512260722349461,2.8878525315377286,0.0429545383397735,0.932,-0.2424115562329023,-0.5741140589997571
ACGL,16060873365.01172,7.445931091799592,1.2630547910278378,1.7997392833944104,0.1696302014423521,0.0478260488776898,2.5468161268384075,0.2417077543702375,-0.493,-0.0759034896965931,0.4613821138211382
ACHC,6912860185.375977,14.194610423196522,2.6206688662014277,2.885797403488484,0.12826178593018378,0.03755038967783385,1.5620742451754253,0.1099272801426334,0.0,0.0,0.0
ACIC,199821886.3723755,-3.4500230731258394,0.6396224348199954,0.8737865901671534,-0.18539656728744,-0.0214628249819441,7.638031920001536,-0.2532697815772788,0.0,0.031632178930226,0.8767300550169733
ACIW,3572894144.0582275,27.95888712083189,2.8703086127541138,2.6068140651439937,0.1026617619059478,0.0404563083836249,1.5375958906695737,0.0932374044030416,0.0,-0.036080571010218,-0.1011837357659818
ACLS,6912860185.375977,14.194610423196522,2.6206688662014277,2.885797403488484,0.12826178593018378,0.03755038967783385,1.5620742451754253,0.1099272801426334,0.0,0.0,0.0
ACM,9566409427.207949,55.2380946803011,3.5268258919759283,0.7170763476881347,0.0638477107580913,0.0147593044936088,3.32592950336778,0.0129815547013039,335.429,0.0146537369196745,-0.4424376470891243
ACMR,6912860185.375977,14.194610423196522,2.6206688662014277,2.885797403488484,0.12826178593018378,0.03755038967783385,1.5620742451754253,0.1099272801426334,0.0,0.0,0.0
ACN,219799694597.4375,37.211241229814185,11.254779298870185,4.3495933866109295,0.30245643324181,0.1368081915621196,1.2108064567498915,0.1168892313951079,0.072,-0.1795769267954237,-0.1410987573520441
ACNB,313466597.1467972,11.262003202802228,1.1519679147224955,3.334041662909989,0.1022880116421793,0.0099871294699257,9.241983139419508,0.2960433950223357,0.0,-0.1029567507227294,-0.2214701275453121
